dataset,method,alpha,n_cases,mean_l_bar,mean_completion_length,accuracy
aime24,spec_casc_tok,0.05,90,2.3238246749805542,10652.744444444445,0.7
aime24,spec_casc_tok,0.1,90,2.3452750260708424,9751.58888888889,0.7222222222222222
aime24,spec_casc_tok,0.15,90,2.375245374971343,12186.233333333334,0.7777777777777778
aime24,spec_casc_tok,0.2,90,2.376406309518919,11980.766666666666,0.7888888888888889
aime24,spec_casc_tok,0.25,90,2.4107237524457656,9873.111111111111,0.7777777777777778
aime24,spec_casc_tok_lt,0.05,90,2.4479253030935593,10006.822222222223,0.7555555555555555
aime24,spec_casc_tok_lt,0.1,90,2.444169142679233,10520.144444444444,0.7555555555555555
aime24,spec_casc_tok_lt,0.15,90,2.480322878109625,9794.18888888889,0.7888888888888889
aime24,spec_casc_tok_lt,0.2,90,2.4887254818414934,10073.855555555556,0.7777777777777778
aime24,spec_casc_tok_lt,0.25,90,2.49680594858274,10427.3,0.6555555555555556
aime24,strict,strict,90,2.20063582115148,9703.377777777778,0.7777777777777778
