dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_001,0,ok,3.23943661971831,4.23943661971831,1505,355.0,0.539906103286385,stop,True,2.940152666065842
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_002,0,ok,2.307908225530876,3.307908225530876,27105,8194.0,0.38465137092181273,stop,True,60.875964374048635
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_003,0,ok,1.9476985223769534,2.947698522376953,27729,9407.0,0.3246164203961589,stop,True,70.66227218997665
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_004,0,ok,2.4738520408163267,3.4738520408163267,27235,7840.0,0.41230867346938777,stop,True,58.74265062902123
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_005,0,ok,2.326923076923077,3.326923076923077,5536,1664.0,0.38782051282051283,stop,True,12.194741943152621
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_006,0,ok,2.367972082202404,3.367972082202404,8686,2579.0,0.39466201370040066,stop,True,18.80926350178197
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_007,0,ok,2.2796887796887795,3.2796887796887795,8008,2442.0,0.37994812994812993,stop,True,17.814207831164822
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_008,0,ok,2.588636363636364,3.588636363636364,1578,440.0,0.43143939393939396,stop,True,3.214611900039017
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_009,0,ok,2.588888888888889,3.588888888888889,2260,630.0,0.43148148148148147,stop,True,4.674703520024195
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_010,0,ok,2.700854700854701,3.700854700854701,865,234.0,0.45014245014245013,stop,True,1.756255814107135
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_011,0,ok,2.290901672786618,3.290901672786618,8065,2451.0,0.3818169454644363,stop,True,18.185148183023557
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_012,0,ok,2.3698630136986303,3.3698630136986303,1723,511.0,0.3949771689497717,stop,True,3.7878675959073007
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_013,0,ok,2.902309058614565,3.902309058614565,2197,563.0,0.4837181764357608,stop,True,4.07719214190729
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_014,0,ok,1.858719936916809,2.858719936916809,21752,7609.0,0.3097866561528015,stop,True,56.70186877413653
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_015,0,ok,2.5213358070500926,3.5213358070500926,5695,1617.0,0.4202226345083488,stop,True,11.809968836139888
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_016,0,ok,2.626794258373206,3.626794258373206,1516,418.0,0.43779904306220097,stop,True,3.1032171240076423
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_017,0,ok,2.4173553719008263,3.4173553719008263,20673,6050.0,0.40289256198347106,stop,True,44.53485457203351
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_018,0,ok,2.534794711203897,3.534794711203897,10159,2874.0,0.4224657852006495,stop,True,21.172293925192207
aime24,spec_casc_opt_head,alpha0.05_beta0.15,case_019,0,ok,2.4793704806465335,3.4793704806465335,8180,2351.0,0.4132284134410889,stop,True,17.232550240820274
