dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
aime24,spec_casc_tok,alpha0.15,case_001,0,ok,3.2384473197781887,4.238447319778189,2292,541.0,0.5397412199630314,stop,True,4.31001043994911
aime24,spec_casc_tok,alpha0.15,case_002,0,ok,2.347112462006079,3.347112462006079,11012,3290.0,0.3911854103343465,stop,True,23.908890940947458
aime24,spec_casc_tok,alpha0.15,case_003,0,ok,2.0040726285423385,3.0040726285423385,17703,5893.0,0.3340121047570564,stop,True,42.53864983585663
aime24,spec_casc_tok,alpha0.15,case_004,0,ok,2.4419329696024943,3.4419329696024943,22080,6415.0,0.4069888282670824,stop,True,46.43117428198457
aime24,spec_casc_tok,alpha0.15,case_005,0,ok,2.4145168342807173,3.4145168342807173,7809,2287.0,0.4024194723801195,stop,True,16.351112297037616
aime24,spec_casc_tok,alpha0.15,case_006,0,ok,2.4068413391557497,3.4068413391557497,32768,9618.0,0.40114022319262493,length,False,69.92497935309075
aime24,spec_casc_tok,alpha0.15,case_007,0,ok,2.243295019157088,3.243295019157088,5078,1566.0,0.37388250319284805,stop,True,11.051305913832039
aime24,spec_casc_tok,alpha0.15,case_008,0,ok,2.8817330210772836,3.8817330210772836,3315,854.0,0.4802888368462139,stop,True,6.0234470730647445
aime24,spec_casc_tok,alpha0.15,case_009,0,ok,3.141553115491467,4.141553115491467,31306,7559.0,0.5235921859152445,stop,True,55.40372016793117
aime24,spec_casc_tok,alpha0.15,case_010,0,ok,2.7426778242677825,3.7426778242677825,1788,478.0,0.4571129707112971,stop,True,3.429350518854335
aime24,spec_casc_tok,alpha0.15,case_011,0,ok,2.2732661529342026,3.2732661529342026,5522,1687.0,0.37887769215570044,stop,True,12.047734633088112
aime24,spec_casc_tok,alpha0.15,case_012,0,ok,2.234234234234234,3.234234234234234,1077,333.0,0.37237237237237236,stop,True,2.400564181152731
aime24,spec_casc_tok,alpha0.15,case_013,0,ok,2.723478260869565,3.723478260869565,2141,575.0,0.4539130434782609,stop,True,4.056615727953613
aime24,spec_casc_tok,alpha0.15,case_014,0,ok,1.8423106947697112,2.8423106947697114,32768,11529.0,0.3070517824616185,length,False,83.95985865290277
aime24,spec_casc_tok,alpha0.15,case_015,0,ok,2.483597883597884,3.483597883597884,3292,945.0,0.4139329805996473,stop,True,6.715309726074338
aime24,spec_casc_tok,alpha0.15,case_016,0,ok,2.217696629213483,3.217696629213483,2290,712.0,0.36961610486891383,stop,True,5.128940524999052
aime24,spec_casc_tok,alpha0.15,case_017,0,ok,2.461372549019608,3.461372549019608,17652,5100.0,0.41022875816993465,stop,True,36.363439249107614
aime24,spec_casc_tok,alpha0.15,case_018,0,ok,2.148237858786484,3.148237858786484,25994,8257.0,0.3580396431310807,stop,True,59.29747188114561
aime24,spec_casc_tok,alpha0.15,case_019,0,ok,2.2926561929119473,3.2926561929119473,9010,2737.0,0.38210936548532454,stop,True,19.46444645198062
aime24,spec_casc_tok,alpha0.15,case_020,0,ok,2.62,3.62,2896,800.0,0.43666666666666665,stop,True,5.599321714835241
aime24,spec_casc_tok,alpha0.15,case_021,0,ok,2.123191582639193,3.123191582639193,7122,2281.0,0.3538652637731989,stop,True,16.399423874914646
aime24,spec_casc_tok,alpha0.15,case_022,0,ok,1.7794554245483079,2.779455424548308,32768,11789.0,0.2965759040913846,length,False,86.39052258408628
aime24,spec_casc_tok,alpha0.15,case_023,0,ok,2.029580573951435,3.029580573951435,6863,2265.0,0.3382634289919058,stop,True,16.349365061847493
