dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
gsm8k,spec_casc_tok,alpha0.15,case_001,0,ok,2.975609756097561,3.975609756097561,163,41.0,0.4959349593495935,stop,True,0.6012741881422698
gsm8k,spec_casc_tok,alpha0.15,case_001,1,ok,2.971014492753623,3.971014492753623,274,69.0,0.49516908212560384,stop,True,1.4512109828647226
gsm8k,spec_casc_tok,alpha0.15,case_001,2,ok,3.4857142857142858,4.485714285714286,158,35.0,0.580952380952381,stop,True,0.5838885460980237
gsm8k,spec_casc_tok,alpha0.15,case_002,0,ok,2.6470588235294117,3.6470588235294117,123,34.0,0.4411764705882353,stop,True,0.2706289191264659
gsm8k,spec_casc_tok,alpha0.15,case_002,1,ok,2.323943661971831,3.323943661971831,235,71.0,0.3873239436619718,stop,True,0.5504090178292245
gsm8k,spec_casc_tok,alpha0.15,case_002,2,ok,2.5625,3.5625,112,32.0,0.4270833333333333,stop,True,0.25615738215856254
gsm8k,spec_casc_tok,alpha0.15,case_003,0,ok,2.5902439024390245,3.5902439024390245,736,205.0,0.4317073170731707,stop,True,1.5393674061633646
gsm8k,spec_casc_tok,alpha0.15,case_003,1,ok,2.7232142857142856,3.7232142857142856,413,112.0,0.4538690476190476,stop,True,0.8532681728247553
gsm8k,spec_casc_tok,alpha0.15,case_003,2,ok,2.7196969696969697,3.7196969696969697,491,132.0,0.4532828282828283,stop,True,1.0029191919602454
gsm8k,spec_casc_tok,alpha0.15,case_004,0,ok,3.25,4.25,82,20.0,0.5416666666666666,stop,True,0.16745239705778658
gsm8k,spec_casc_tok,alpha0.15,case_004,1,ok,2.6956521739130435,3.6956521739130435,81,23.0,0.4492753623188406,stop,True,0.18970790109597147
gsm8k,spec_casc_tok,alpha0.15,case_004,2,ok,2.739130434782609,3.739130434782609,86,23.0,0.45652173913043476,stop,True,0.19110621185973287
gsm8k,spec_casc_tok,alpha0.15,case_005,0,ok,2.7058823529411766,3.7058823529411766,187,51.0,0.45098039215686275,stop,True,0.39893478504382074
gsm8k,spec_casc_tok,alpha0.15,case_005,1,ok,2.339622641509434,3.339622641509434,177,53.0,0.389937106918239,stop,True,0.41013391804881394
gsm8k,spec_casc_tok,alpha0.15,case_005,2,ok,2.7906976744186047,3.7906976744186047,488,129.0,0.46511627906976744,stop,True,0.984901097137481
gsm8k,spec_casc_tok,alpha0.15,case_006,0,ok,2.918918918918919,3.918918918918919,143,37.0,0.4864864864864865,stop,True,0.29036029893904924
gsm8k,spec_casc_tok,alpha0.15,case_006,1,ok,2.449275362318841,3.449275362318841,238,69.0,0.4082125603864734,stop,True,0.5295605470892042
gsm8k,spec_casc_tok,alpha0.15,case_006,2,ok,2.560747663551402,3.560747663551402,377,107.0,0.42679127725856697,stop,True,0.8136924791615456
gsm8k,spec_casc_tok,alpha0.15,case_007,0,ok,2.966666666666667,3.966666666666667,119,30.0,0.49444444444444446,stop,True,0.24268144089728594
gsm8k,spec_casc_tok,alpha0.15,case_007,1,ok,2.9411764705882355,3.9411764705882355,134,34.0,0.49019607843137253,stop,True,0.27298092120327055
gsm8k,spec_casc_tok,alpha0.15,case_007,2,ok,2.7288135593220337,3.7288135593220337,220,59.0,0.4548022598870056,stop,True,0.4594174539670348
gsm8k,spec_casc_tok,alpha0.15,case_008,0,ok,2.5273972602739727,3.5273972602739727,511,146.0,0.4212328767123288,stop,True,1.1074850568547845
gsm8k,spec_casc_tok,alpha0.15,case_008,1,ok,2.3840579710144927,3.3840579710144927,935,276.0,0.3973429951690821,stop,True,2.07176825706847
