dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
gsm8k,spec_casc_tok,alpha0.15,case_001,0,ok,2.975609756097561,3.975609756097561,163,41.0,0.4959349593495935,stop,True,0.6012741881422698
gsm8k,spec_casc_tok,alpha0.15,case_002,0,ok,2.6470588235294117,3.6470588235294117,123,34.0,0.4411764705882353,stop,True,0.2706289191264659
gsm8k,spec_casc_tok,alpha0.15,case_003,0,ok,2.5902439024390245,3.5902439024390245,736,205.0,0.4317073170731707,stop,True,1.5393674061633646
gsm8k,spec_casc_tok,alpha0.15,case_004,0,ok,3.25,4.25,82,20.0,0.5416666666666666,stop,True,0.16745239705778658
gsm8k,spec_casc_tok,alpha0.15,case_005,0,ok,2.7058823529411766,3.7058823529411766,187,51.0,0.45098039215686275,stop,True,0.39893478504382074
gsm8k,spec_casc_tok,alpha0.15,case_006,0,ok,2.918918918918919,3.918918918918919,143,37.0,0.4864864864864865,stop,True,0.29036029893904924
gsm8k,spec_casc_tok,alpha0.15,case_007,0,ok,2.966666666666667,3.966666666666667,119,30.0,0.49444444444444446,stop,True,0.24268144089728594
gsm8k,spec_casc_tok,alpha0.15,case_008,0,ok,2.5273972602739727,3.5273972602739727,511,146.0,0.4212328767123288,stop,True,1.1074850568547845
gsm8k,spec_casc_tok,alpha0.15,case_009,0,ok,2.673024523160763,3.673024523160763,1349,367.0,0.44550408719346046,stop,True,2.7459297229070216
gsm8k,spec_casc_tok,alpha0.15,case_010,0,ok,2.4054054054054053,3.4054054054054053,126,37.0,0.4009009009009009,stop,True,0.29438446508720517
gsm8k,spec_casc_tok,alpha0.15,case_011,0,ok,3.0,4.0,156,39.0,0.5,stop,True,0.3080065459944308
gsm8k,spec_casc_tok,alpha0.15,case_012,0,ok,3.7142857142857144,4.714285714285714,328,70.0,0.6190476190476191,stop,True,0.5410660679917783
gsm8k,spec_casc_tok,alpha0.15,case_013,0,ok,2.1301369863013697,3.1301369863013697,456,146.0,0.3550228310502283,stop,True,1.0935591259039938
gsm8k,spec_casc_tok,alpha0.15,case_014,0,ok,2.303370786516854,3.303370786516854,294,89.0,0.3838951310861423,stop,True,0.6740059480071068
gsm8k,spec_casc_tok,alpha0.15,case_015,0,ok,2.933333333333333,3.933333333333333,177,45.0,0.4888888888888889,stop,True,0.3531353920698166
