dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
humaneval,spec_casc_tok,alpha0.15,case_001,0,ok,3.1125,4.1125,327,80.0,0.51875,stop,True,1.0133723688777536
humaneval,spec_casc_tok,alpha0.15,case_001,1,ok,2.8095238095238093,3.8095238095238093,639,168.0,0.46825396825396826,stop,True,1.7809899849817157
humaneval,spec_casc_tok,alpha0.15,case_001,2,ok,2.644171779141104,3.644171779141104,594,163.0,0.44069529652351735,stop,True,1.8445032038725913
humaneval,spec_casc_tok,alpha0.15,case_002,0,ok,1.9400921658986174,2.9400921658986174,1276,434.0,0.32334869431643626,stop,True,3.185960429953411
humaneval,spec_casc_tok,alpha0.15,case_002,1,ok,2.3221153846153846,3.3221153846153846,689,208.0,0.3870192307692308,stop,True,1.552787589142099
humaneval,spec_casc_tok,alpha0.15,case_002,2,ok,1.703422053231939,2.703422053231939,2132,789.0,0.28390367553865653,stop,True,5.81252612080425
humaneval,spec_casc_tok,alpha0.15,case_003,0,ok,2.1125541125541125,3.1125541125541125,719,231.0,0.35209235209235207,stop,True,1.737472595879808
humaneval,spec_casc_tok,alpha0.15,case_003,1,ok,2.312977099236641,3.312977099236641,433,131.0,0.38549618320610685,stop,True,0.9979547238908708
humaneval,spec_casc_tok,alpha0.15,case_003,2,ok,2.2384615384615385,3.2384615384615385,420,130.0,0.3730769230769231,stop,True,0.9909009749535471
humaneval,spec_casc_tok,alpha0.15,case_004,0,ok,2.858490566037736,3.858490566037736,408,106.0,0.47641509433962265,stop,True,0.8090437510982156
humaneval,spec_casc_tok,alpha0.15,case_004,1,ok,2.588785046728972,3.588785046728972,381,107.0,0.43146417445482865,stop,True,0.8187965981196612
humaneval,spec_casc_tok,alpha0.15,case_004,2,ok,2.7857142857142856,3.7857142857142856,423,112.0,0.4642857142857143,stop,True,0.8581335730850697
humaneval,spec_casc_tok,alpha0.15,case_005,0,ok,2.1076923076923078,3.1076923076923078,404,130.0,0.35128205128205126,stop,True,0.9931641118600965
humaneval,spec_casc_tok,alpha0.15,case_005,1,ok,2.808333333333333,3.808333333333333,455,120.0,0.46805555555555556,stop,True,0.91867122403346
humaneval,spec_casc_tok,alpha0.15,case_005,2,ok,2.43859649122807,3.43859649122807,392,114.0,0.4064327485380117,stop,True,0.8701382770668715
humaneval,spec_casc_tok,alpha0.15,case_006,0,ok,2.9770114942528734,3.9770114942528734,346,87.0,0.49616858237547895,stop,True,0.6612491849809885
humaneval,spec_casc_tok,alpha0.15,case_006,1,ok,2.6379310344827585,3.6379310344827585,422,116.0,0.4396551724137931,stop,True,0.875346255954355
humaneval,spec_casc_tok,alpha0.15,case_006,2,ok,2.8620689655172415,3.8620689655172415,334,87.0,0.47701149425287354,stop,True,0.6643057100009173
humaneval,spec_casc_tok,alpha0.15,case_007,0,ok,2.38,3.38,505,150.0,0.39666666666666667,stop,True,1.1239386801607907
humaneval,spec_casc_tok,alpha0.15,case_007,1,ok,2.4050632911392404,3.4050632911392404,537,158.0,0.4008438818565401,stop,True,1.1873711559455842
humaneval,spec_casc_tok,alpha0.15,case_007,2,ok,2.424083769633508,3.424083769633508,654,191.0,0.4040139616055846,stop,True,1.4400448300875723
humaneval,spec_casc_tok,alpha0.15,case_008,0,ok,3.2213740458015265,4.221374045801527,553,131.0,0.5368956743002544,stop,True,0.9848508138675243
humaneval,spec_casc_tok,alpha0.15,case_008,1,ok,2.594059405940594,3.594059405940594,363,101.0,0.43234323432343236,stop,True,0.770492261974141
humaneval,spec_casc_tok,alpha0.15,case_008,2,ok,2.712962962962963,3.712962962962963,398,108.0,0.4521604938271605,stop,True,0.8196957272011787
humaneval,spec_casc_tok,alpha0.15,case_009,0,ok,2.902173913043478,3.902173913043478,358,92.0,0.483695652173913,stop,True,0.7054519259836525
humaneval,spec_casc_tok,alpha0.15,case_009,1,ok,2.696629213483146,3.696629213483146,328,89.0,0.449438202247191,stop,True,0.6812013150192797
humaneval,spec_casc_tok,alpha0.15,case_009,2,ok,2.5757575757575757,3.5757575757575757,471,132.0,0.4292929292929293,stop,True,1.0095639310311526
humaneval,spec_casc_tok,alpha0.15,case_010,0,ok,2.6324786324786325,3.6324786324786325,425,117.0,0.43874643874643876,stop,True,0.8822507439181209
humaneval,spec_casc_tok,alpha0.15,case_010,1,ok,2.641509433962264,3.641509433962264,384,106.0,0.44025157232704404,stop,True,0.8031425739172846
humaneval,spec_casc_tok,alpha0.15,case_010,2,ok,2.5272727272727273,3.5272727272727273,388,110.0,0.4212121212121212,stop,True,0.8349781839642674
humaneval,spec_casc_tok,alpha0.15,case_011,0,ok,2.090909090909091,3.090909090909091,1019,330.0,0.3484848484848485,stop,True,2.46732857497409
humaneval,spec_casc_tok,alpha0.15,case_011,1,ok,2.347826086956522,3.347826086956522,1155,345.0,0.391304347826087,stop,True,2.594659420894459
humaneval,spec_casc_tok,alpha0.15,case_011,2,ok,2.1242603550295858,3.1242603550295858,1055,338.0,0.35404339250493094,stop,True,2.5287465630099177
humaneval,spec_casc_tok,alpha0.15,case_012,0,ok,2.381818181818182,3.381818181818182,557,165.0,0.396969696969697,stop,True,1.2460342920385301
humaneval,spec_casc_tok,alpha0.15,case_012,1,ok,2.3120567375886525,3.3120567375886525,465,141.0,0.38534278959810875,stop,True,1.06457313708961
humaneval,spec_casc_tok,alpha0.15,case_012,2,ok,2.3984375,3.3984375,433,128.0,0.3997395833333333,stop,True,0.9707883449736983
humaneval,spec_casc_tok,alpha0.15,case_013,0,ok,2.189516129032258,3.189516129032258,791,248.0,0.3649193548387097,stop,True,1.8512315799016505
humaneval,spec_casc_tok,alpha0.15,case_013,1,ok,2.140845070422535,3.140845070422535,445,142.0,0.3568075117370892,stop,True,1.069720648927614
humaneval,spec_casc_tok,alpha0.15,case_013,2,ok,1.9005847953216375,2.9005847953216373,494,171.0,0.31676413255360625,stop,True,1.2863900158554316
humaneval,spec_casc_tok,alpha0.15,case_014,0,ok,2.8316831683168315,3.8316831683168315,386,101.0,0.47194719471947194,stop,True,0.7740612139459699
humaneval,spec_casc_tok,alpha0.15,case_014,1,ok,2.9166666666666665,3.9166666666666665,470,120.0,0.4861111111111111,stop,True,0.912264013197273
humaneval,spec_casc_tok,alpha0.15,case_014,2,ok,2.705426356589147,3.705426356589147,477,129.0,0.4509043927648579,stop,True,0.984847404062748
humaneval,spec_casc_tok,alpha0.15,case_015,0,ok,2.7613636363636362,3.7613636363636362,328,88.0,0.4602272727272727,stop,True,0.6703033610247076
humaneval,spec_casc_tok,alpha0.15,case_015,1,ok,2.5595238095238093,3.5595238095238093,299,84.0,0.42658730158730157,stop,True,0.641140823950991
humaneval,spec_casc_tok,alpha0.15,case_015,2,ok,3.282051282051282,4.282051282051282,501,117.0,0.5470085470085471,stop,True,0.8893259309697896
humaneval,spec_casc_tok,alpha0.15,case_016,0,ok,3.1,4.1,283,70.0,0.5166666666666667,stop,True,0.540584065951407
humaneval,spec_casc_tok,alpha0.15,case_016,1,ok,2.2211538461538463,3.2211538461538463,333,104.0,0.3701923076923077,stop,True,0.7935969610698521
humaneval,spec_casc_tok,alpha0.15,case_016,2,ok,3.12,4.12,205,50.0,0.52,stop,True,0.39141287188977003
