dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
livecodebench,spec_casc_tok,alpha0.15,case_001,0,ok,2.4663023679417124,3.4663023679417124,1901,549.0,0.41105039465695203,stop,True,4.462140284944326
livecodebench,spec_casc_tok,alpha0.15,case_001,1,ok,2.5157894736842104,3.5157894736842104,1668,475.0,0.4192982456140351,stop,True,3.941105559002608
livecodebench,spec_casc_tok,alpha0.15,case_001,2,ok,2.4989858012170387,3.4989858012170387,1723,493.0,0.4164976335361731,stop,True,4.025168410036713
livecodebench,spec_casc_tok,alpha0.15,case_002,0,ok,2.5393518518518516,3.5393518518518516,3056,864.0,0.42322530864197533,stop,True,6.374798946082592
livecodebench,spec_casc_tok,alpha0.15,case_002,1,ok,2.2515337423312882,3.2515337423312882,4237,1304.0,0.37525562372188137,stop,True,9.610589413903654
livecodebench,spec_casc_tok,alpha0.15,case_002,2,ok,2.553483807654563,3.553483807654563,3619,1019.0,0.4255806346090939,stop,True,7.513470089994371
livecodebench,spec_casc_tok,alpha0.15,case_003,0,ok,2.2533898305084747,3.2533898305084747,3836,1180.0,0.3755649717514124,stop,True,8.729112308006734
livecodebench,spec_casc_tok,alpha0.15,case_003,1,ok,2.2333333333333334,3.2333333333333334,2810,870.0,0.37222222222222223,stop,True,6.436177252791822
livecodebench,spec_casc_tok,alpha0.15,case_003,2,ok,2.0917347865576748,3.0917347865576748,3401,1101.0,0.34862246442627914,stop,True,8.134486754890531
livecodebench,spec_casc_tok,alpha0.15,case_004,0,ok,2.6634382566585955,3.6634382566585955,3024,826.0,0.44390637610976597,stop,True,6.086351297330111
livecodebench,spec_casc_tok,alpha0.15,case_004,1,ok,2.5282608695652176,3.5282608695652176,1624,460.0,0.42137681159420287,stop,True,3.41285839676857
livecodebench,spec_casc_tok,alpha0.15,case_004,2,ok,2.661214953271028,3.661214953271028,1565,428.0,0.44353582554517135,stop,True,3.1736754807643592
livecodebench,spec_casc_tok,alpha0.15,case_005,0,ok,2.0173441734417343,3.0173441734417343,5568,1845.0,0.33622402890695574,stop,True,13.520104331895709
livecodebench,spec_casc_tok,alpha0.15,case_005,1,ok,1.9415,2.9415,5882,2000.0,0.32358333333333333,stop,True,14.577800725121051
livecodebench,spec_casc_tok,alpha0.15,case_005,2,ok,1.78380886105312,2.78380886105312,12000,4311.0,0.29730147684218666,length,False,31.75892454897985
livecodebench,spec_casc_tok,alpha0.15,case_006,0,ok,2.1282811176968672,3.1282811176968672,7387,2362.0,0.3547135196161445,stop,True,17.411740025039762
livecodebench,spec_casc_tok,alpha0.15,case_006,1,ok,2.1440677966101696,3.1440677966101696,5192,1652.0,0.3573446327683616,stop,True,11.822051958646625
livecodebench,spec_casc_tok,alpha0.15,case_006,2,ok,2.0684371807967312,3.0684371807967312,3000,979.0,0.3447395301327886,stop,True,7.185241672676057
livecodebench,spec_casc_tok,alpha0.15,case_007,0,ok,2.480769230769231,3.480769230769231,1809,520.0,0.41346153846153844,stop,True,3.8391428156755865
livecodebench,spec_casc_tok,alpha0.15,case_007,1,ok,2.2850299401197605,3.2850299401197605,2740,835.0,0.38083832335329343,stop,True,5.996323231142014
