dataset,method,params,case,seed,status,l_bar,mean_accept_length,output_tokens,draft_rounds,draft_acceptance_rate,finish_reason,reached_final_channel,wall_time_seconds
mtbench,spec_casc_tok,alpha0.15,case_001,0,ok,1.6224489795918366,2.6224489795918364,2056,784.0,0.27040816326530615,stop,True,6.011354468995705
mtbench,spec_casc_tok,alpha0.15,case_001,1,ok,1.4769021739130435,2.4769021739130435,1822,736.0,0.24615036231884058,stop,True,5.652043432928622
mtbench,spec_casc_tok,alpha0.15,case_001,2,ok,1.3845428840716305,2.3845428840716307,2530,1061.0,0.23075714734527175,stop,True,8.188725214917213
mtbench,spec_casc_tok,alpha0.15,case_002,0,ok,1.948139797068771,2.9481397970687713,2614,887.0,0.3246899661781285,stop,True,6.313616850180551
mtbench,spec_casc_tok,alpha0.15,case_002,1,ok,1.9274406332453826,2.9274406332453826,2219,758.0,0.3212401055408971,stop,True,5.311157759977505
mtbench,spec_casc_tok,alpha0.15,case_002,2,ok,1.8498527968596663,2.8498527968596665,2905,1019.0,0.30830879947661105,stop,True,7.272300377953798
mtbench,spec_casc_tok,alpha0.15,case_003,0,ok,1.8254545454545454,2.825454545454545,1555,550.0,0.30424242424242426,stop,True,3.987432927824557
mtbench,spec_casc_tok,alpha0.15,case_003,1,ok,2.046816479400749,3.046816479400749,1627,534.0,0.34113607990012484,stop,True,3.78343496308662
mtbench,spec_casc_tok,alpha0.15,case_003,2,ok,1.8028169014084507,2.802816901408451,1393,497.0,0.3004694835680751,stop,True,3.6020764999557287
mtbench,spec_casc_tok,alpha0.15,case_004,0,ok,2.144475920679887,3.144475920679887,1110,353.0,0.3574126534466478,stop,True,2.601752649061382
mtbench,spec_casc_tok,alpha0.15,case_004,1,ok,2.4403669724770642,3.4403669724770642,375,109.0,0.40672782874617736,stop,True,0.8036099679302424
mtbench,spec_casc_tok,alpha0.15,case_004,2,ok,2.027972027972028,3.027972027972028,432,143.0,0.337995337995338,stop,True,1.0714073441922665
mtbench,spec_casc_tok,alpha0.15,case_005,0,ok,2.966666666666667,3.966666666666667,119,30.0,0.49444444444444446,stop,True,0.23803189699538052
