dataset,method,alpha,n_paired,n_strict,full,mean_l_bar,len_ratio,rounds_speedup,lc_speedup,wall_speedup,budget_hit_rate,strict_budget_hit_rate,no_final_rate,clean,accuracy,strict_accuracy
aime24,cactus,0.03,30,30,True,3.053,1.51,0.886,0.841,0.789,0.133,0.067,0.133,False,0.6333333333333333,0.7666666666666667
aime24,cactus,0.08,30,30,True,3.535,1.775,0.854,0.8,0.721,0.2,0.067,0.2,False,0.5333333333333333,0.7666666666666667
aime24,cactus,0.18,30,30,True,3.928,1.779,0.933,0.868,0.753,0.233,0.067,0.233,False,0.6,0.7666666666666667
aime24,cactus,0.35,3,30,False,4.403,1.149,1.672,1.497,1.285,0.667,0.333,0.667,False,,0.7666666666666667
aime24,mentored_dec,0.15,30,30,True,2.41,1.076,1.015,0.993,0.975,0.067,0.067,0.067,True,0.8,0.7666666666666667
aime24,mentored_dec,0.35,30,30,True,2.641,1.21,0.961,0.943,0.91,0.067,0.067,0.067,True,0.8,0.7666666666666667
aime24,mentored_dec,0.55,3,30,False,2.83,0.882,1.409,1.381,1.316,0.333,0.333,0.333,True,,0.7666666666666667
aime24,mentored_dec,0.75,30,30,True,3.338,1.695,0.846,0.802,0.733,0.2,0.067,0.2,False,0.6333333333333333,0.7666666666666667
aime24,r_fuzzy,0.03,30,30,True,2.267,1.315,0.777,0.779,0.769,0.133,0.067,0.133,False,0.7666666666666667,0.7666666666666667
aime24,r_fuzzy,0.08,30,30,True,2.463,1.307,0.857,0.83,0.813,0.1,0.067,0.1,True,0.7,0.7666666666666667
aime24,r_fuzzy,0.15,3,30,False,2.787,1.067,1.138,1.13,1.077,0.667,0.333,0.667,False,,0.7666666666666667
aime24,r_fuzzy,0.25,30,30,True,3.679,2.132,0.73,0.688,0.609,0.3,0.067,0.3,False,0.5,0.7666666666666667
aime24,spec_casc_opt,0.05,30,30,True,3.383,2.484,0.587,0.553,0.497,0.433,0.067,0.433,False,0.36666666666666664,0.7666666666666667
aime24,spec_casc_opt,-0.02,3,30,False,3.144,1.062,1.328,1.241,1.167,0.667,0.333,0.667,False,,0.7666666666666667
aime24,spec_casc_opt,-0.1,3,30,False,2.963,0.818,1.619,1.542,1.476,0.333,0.333,0.333,True,,0.7666666666666667
aime24,spec_casc_opt,-0.3,30,30,True,2.705,1.328,0.895,0.874,0.833,0.1,0.067,0.1,True,0.8,0.7666666666666667
aime24,spec_casc_tok,0.15,30,30,True,2.383,1.002,1.095,1.058,1.049,0.033,0.067,0.0,True,0.8333333333333334,0.7666666666666667
aime24,spec_casc_tok,0.35,3,30,False,2.442,0.767,1.403,1.428,1.382,0.333,0.333,0.333,True,,0.7666666666666667
aime24,spec_casc_tok,0.55,3,30,False,2.512,1.062,1.078,1.052,1.02,0.667,0.333,0.333,False,,0.7666666666666667
aime24,spec_casc_tok,0.8,30,30,True,2.698,1.484,0.817,0.781,0.754,0.2,0.067,0.2,False,0.7,0.7666666666666667
aime24,strict,,30,30,True,2.192,1.0,1.0,1.0,1.0,0.067,0.067,0.067,True,0.7666666666666667,0.7666666666666667
aime24_e6,spec_casc_opt_head,0.05 (beta0.15),30,90,False,2.455,1.192,0.913,0.899,0.889,0.033,0.067,0.033,True,0.8,0.7777777777777778
aime24_e6,spec_casc_opt_head,0.05 (beta0.35),30,90,False,2.528,1.27,0.868,0.862,0.859,0.167,0.067,0.167,False,0.6666666666666666,0.7777777777777778
aime24_e6,spec_casc_opt_head,-0.02 (beta0.15),30,90,False,2.484,1.3,0.837,0.832,0.834,0.067,0.067,0.067,True,0.8333333333333334,0.7777777777777778
aime24_e6,spec_casc_opt_head,-0.02 (beta0.35),30,90,False,2.533,1.118,0.999,0.98,0.973,0.067,0.067,0.067,True,0.8,0.7777777777777778
aime24_e6,spec_casc_opt_head,-0.1 (beta0.15),30,90,False,2.468,1.13,0.953,0.952,0.93,0.1,0.067,0.1,True,0.7333333333333333,0.7777777777777778
aime24_e6,spec_casc_opt_head,-0.1 (beta0.35),30,90,False,2.47,1.261,0.863,0.853,0.843,0.167,0.067,0.167,False,0.6333333333333333,0.7777777777777778
aime24_e6,spec_casc_opt_head,-0.3 (beta0.15),30,90,False,2.455,1.094,1.01,0.979,1.018,0.033,0.067,0.033,True,0.7333333333333333,0.7777777777777778
aime24_e6,spec_casc_opt_head,-0.3 (beta0.35),30,90,False,2.49,1.03,1.065,1.051,1.053,0.033,0.067,0.033,True,0.8,0.7777777777777778
aime24_e6,spec_casc_tok,0.05,90,90,True,2.324,1.098,0.955,0.946,0.952,0.089,0.067,0.089,True,0.7,0.7777777777777778
aime24_e6,spec_casc_tok,0.1,90,90,True,2.345,1.005,1.048,1.04,1.036,0.1,0.067,0.089,True,0.7222222222222222,0.7777777777777778
aime24_e6,spec_casc_tok,0.15,90,90,True,2.375,1.256,0.842,0.84,0.831,0.122,0.067,0.122,False,0.7777777777777778,0.7777777777777778
aime24_e6,spec_casc_tok,0.2,90,90,True,2.376,1.235,0.866,0.854,0.862,0.1,0.067,0.111,True,0.7888888888888889,0.7777777777777778
aime24_e6,spec_casc_tok,0.25,90,90,True,2.411,1.017,1.054,1.047,1.042,0.111,0.067,0.1,True,0.7777777777777778,0.7777777777777778
aime24_e6,spec_casc_tok,0.35,30,90,False,2.411,1.287,0.842,0.822,0.824,0.1,0.067,0.133,True,,0.7777777777777778
aime24_e6,spec_casc_tok,0.55,30,90,False,2.489,1.51,0.734,0.716,0.733,0.133,0.067,0.133,False,,0.7777777777777778
aime24_e6,spec_casc_tok,0.8,30,90,False,2.695,1.392,0.855,0.823,0.83,0.133,0.067,0.133,False,,0.7777777777777778
aime24_e6,spec_casc_tok_lt,0.05,90,90,True,2.448,1.031,1.065,1.045,1.063,0.1,0.067,0.1,True,0.7555555555555555,0.7777777777777778
aime24_e6,spec_casc_tok_lt,0.1,90,90,True,2.444,1.084,1.006,0.993,1.006,0.089,0.067,0.089,True,0.7555555555555555,0.7777777777777778
aime24_e6,spec_casc_tok_lt,0.15,90,90,True,2.48,1.009,1.076,1.077,1.066,0.067,0.067,0.056,True,0.7888888888888889,0.7777777777777778
aime24_e6,spec_casc_tok_lt,0.2,90,90,True,2.489,1.038,1.058,1.05,1.059,0.067,0.067,0.056,True,0.7777777777777778,0.7777777777777778
aime24_e6,spec_casc_tok_lt,0.25,90,90,True,2.497,1.075,1.014,1.017,1.019,0.122,0.067,0.133,False,0.6555555555555556,0.7777777777777778
aime24_e6,spec_casc_tok_lt,0.35,30,90,False,2.524,1.196,0.932,0.914,0.909,0.1,0.067,0.1,True,,0.7777777777777778
aime24_e6,spec_casc_tok_lt,0.55,30,90,False,2.554,1.335,0.845,0.826,0.828,0.133,0.067,0.133,False,,0.7777777777777778
aime24_e6,spec_casc_tok_lt,0.8,30,90,False,2.762,1.514,0.789,0.771,0.772,0.167,0.067,0.133,False,,0.7777777777777778
aime24_e6,strict,,90,90,True,2.201,1.0,1.0,1.0,1.0,0.067,0.067,0.067,True,0.7777777777777778,0.7777777777777778
aime24_fine,spec_casc_opt_head,0.05 (beta0.15),30,90,False,2.455,1.192,0.913,0.899,0.889,0.033,0.067,0.033,True,,0.7777777777777778
aime24_fine,spec_casc_opt_head,0.05 (beta0.35),30,90,False,2.528,1.27,0.868,0.862,0.859,0.167,0.067,0.167,False,,0.7777777777777778
aime24_fine,spec_casc_opt_head,-0.02 (beta0.15),30,90,False,2.484,1.3,0.837,0.832,0.834,0.067,0.067,0.067,True,,0.7777777777777778
aime24_fine,spec_casc_opt_head,-0.02 (beta0.35),30,90,False,2.533,1.118,0.999,0.98,0.973,0.067,0.067,0.067,True,,0.7777777777777778
aime24_fine,spec_casc_opt_head,-0.1 (beta0.15),30,90,False,2.468,1.13,0.953,0.952,0.93,0.1,0.067,0.1,True,,0.7777777777777778
aime24_fine,spec_casc_opt_head,-0.1 (beta0.35),30,90,False,2.47,1.261,0.863,0.853,0.843,0.167,0.067,0.167,False,,0.7777777777777778
aime24_fine,spec_casc_opt_head,-0.3 (beta0.15),30,90,False,2.455,1.094,1.01,0.979,1.018,0.033,0.067,0.033,True,,0.7777777777777778
aime24_fine,spec_casc_opt_head,-0.3 (beta0.35),30,90,False,2.49,1.03,1.065,1.051,1.053,0.033,0.067,0.033,True,,0.7777777777777778
aime24_fine,spec_casc_tok,0.05,90,90,True,2.324,1.098,0.955,0.946,0.952,0.089,0.067,0.089,True,0.7,0.7777777777777778
aime24_fine,spec_casc_tok,0.1,90,90,True,2.345,1.005,1.048,1.04,1.036,0.1,0.067,0.089,True,0.7222222222222222,0.7777777777777778
aime24_fine,spec_casc_tok,0.15,90,90,True,2.375,1.256,0.842,0.84,0.831,0.122,0.067,0.122,False,0.7777777777777778,0.7777777777777778
aime24_fine,spec_casc_tok,0.2,90,90,True,2.376,1.235,0.866,0.854,0.862,0.1,0.067,0.111,True,0.7888888888888889,0.7777777777777778
aime24_fine,spec_casc_tok,0.25,90,90,True,2.411,1.017,1.054,1.047,1.042,0.111,0.067,0.1,True,0.7777777777777778,0.7777777777777778
aime24_fine,spec_casc_tok,0.35,30,90,False,2.411,1.287,0.842,0.822,0.824,0.1,0.067,0.133,True,,0.7777777777777778
aime24_fine,spec_casc_tok,0.55,30,90,False,2.489,1.51,0.734,0.716,0.733,0.133,0.067,0.133,False,,0.7777777777777778
aime24_fine,spec_casc_tok,0.8,30,90,False,2.695,1.392,0.855,0.823,0.83,0.133,0.067,0.133,False,,0.7777777777777778
aime24_fine,spec_casc_tok_lt,0.05,90,90,True,2.448,1.031,1.065,1.045,1.063,0.1,0.067,0.1,True,0.7555555555555555,0.7777777777777778
aime24_fine,spec_casc_tok_lt,0.1,90,90,True,2.444,1.084,1.006,0.993,1.006,0.089,0.067,0.089,True,0.7555555555555555,0.7777777777777778
aime24_fine,spec_casc_tok_lt,0.15,90,90,True,2.48,1.009,1.076,1.077,1.066,0.067,0.067,0.056,True,0.7888888888888889,0.7777777777777778
aime24_fine,spec_casc_tok_lt,0.2,90,90,True,2.489,1.038,1.058,1.05,1.059,0.067,0.067,0.056,True,0.7777777777777778,0.7777777777777778
aime24_fine,spec_casc_tok_lt,0.25,90,90,True,2.497,1.075,1.014,1.017,1.019,0.122,0.067,0.133,False,0.6555555555555556,0.7777777777777778
aime24_fine,spec_casc_tok_lt,0.35,30,90,False,2.524,1.196,0.932,0.914,0.909,0.1,0.067,0.1,True,,0.7777777777777778
aime24_fine,spec_casc_tok_lt,0.55,30,90,False,2.554,1.335,0.845,0.826,0.828,0.133,0.067,0.133,False,,0.7777777777777778
aime24_fine,spec_casc_tok_lt,0.8,30,90,False,2.762,1.514,0.789,0.771,0.772,0.167,0.067,0.133,False,,0.7777777777777778
aime24_fine,strict,,90,90,True,2.201,1.0,1.0,1.0,1.0,0.067,0.067,0.067,True,0.7777777777777778,0.7777777777777778
aime24_quick,spec_casc_tok,0.15,30,30,True,2.402,1.507,0.714,0.7,0.713,0.167,0.067,0.167,False,0.8,0.8
aime24_quick,spec_casc_tok,0.35,30,30,True,2.411,1.287,0.842,0.822,0.824,0.1,0.067,0.133,True,0.7666666666666667,0.8
aime24_quick,spec_casc_tok,0.55,30,30,True,2.489,1.51,0.734,0.716,0.733,0.133,0.067,0.133,False,0.7333333333333333,0.8
aime24_quick,spec_casc_tok,0.8,30,30,True,2.695,1.392,0.855,0.823,0.83,0.133,0.067,0.133,False,0.7666666666666667,0.8
aime24_quick,spec_casc_tok_lt,0.15,30,30,True,2.525,1.031,1.075,1.061,1.079,0.0,0.067,0.0,True,0.8333333333333334,0.8
aime24_quick,spec_casc_tok_lt,0.35,30,30,True,2.524,1.196,0.932,0.914,0.909,0.1,0.067,0.1,True,0.7666666666666667,0.8
aime24_quick,spec_casc_tok_lt,0.55,30,30,True,2.554,1.335,0.845,0.826,0.828,0.133,0.067,0.133,False,0.8,0.8
aime24_quick,spec_casc_tok_lt,0.8,30,30,True,2.762,1.514,0.789,0.771,0.772,0.167,0.067,0.133,False,0.6666666666666666,0.8
aime24_quick,strict,,30,30,True,2.224,1.0,1.0,1.0,1.0,0.067,0.067,0.067,True,0.8,0.8
aime24_qwen3,cactus,0.03,30,30,True,1.612,1.147,1.133,1.083,1.075,0.167,0.167,,True,0.6,0.7
aime24_qwen3,cactus,0.08,30,30,True,2.214,1.048,1.539,1.458,1.409,0.233,0.167,,False,0.36666666666666664,0.7
aime24_qwen3,cactus,0.18,3,30,False,2.78,1.162,1.802,1.613,1.809,0.333,0.0,,False,,0.7
aime24_qwen3,cactus,0.35,30,30,True,3.463,1.257,1.829,1.688,1.52,0.567,0.167,,False,0.23333333333333334,0.7
aime24_qwen3,mentored_dec,0.15,30,30,True,1.185,0.913,1.133,1.138,1.127,0.133,0.167,,True,0.7333333333333333,0.7
aime24_qwen3,mentored_dec,0.35,3,30,False,1.073,1.006,0.981,1.021,0.976,0.0,0.0,,True,,0.7
aime24_qwen3,mentored_dec,0.55,3,30,False,1.124,0.951,1.038,1.108,1.033,0.333,0.0,,False,,0.7
aime24_qwen3,mentored_dec,0.75,30,30,True,1.301,1.012,1.069,1.081,1.049,0.233,0.167,,False,0.7333333333333333,0.7
aime24_qwen3,r_fuzzy,0.03,30,30,True,1.12,1.044,0.955,0.965,0.964,0.167,0.167,,True,0.6666666666666666,0.7
aime24_qwen3,r_fuzzy,0.08,3,30,False,1.028,1.166,0.848,0.862,0.835,0.667,0.0,,False,,0.7
aime24_qwen3,r_fuzzy,0.15,3,30,False,1.127,1.158,0.877,0.911,0.861,0.667,0.0,,False,,0.7
aime24_qwen3,r_fuzzy,0.25,30,30,True,1.374,1.291,0.859,0.874,0.844,0.367,0.167,,False,0.4,0.7
aime24_qwen3,spec_casc_opt,0.05,30,30,True,1.802,1.418,0.942,0.94,0.88,0.633,0.167,,False,0.3,0.7
aime24_qwen3,spec_casc_opt,-0.02,3,30,False,1.186,1.152,0.903,0.941,0.886,0.667,0.0,,False,,0.7
aime24_qwen3,spec_casc_opt,-0.1,3,30,False,1.199,1.129,0.906,0.966,0.89,0.667,0.0,,False,,0.7
aime24_qwen3,spec_casc_opt,-0.3,30,30,True,1.237,1.027,1.034,1.036,1.029,0.233,0.167,,False,0.7,0.7
aime24_qwen3,spec_casc_tok,0.15,30,30,True,1.143,0.964,1.049,1.057,1.05,0.167,0.167,,True,0.7333333333333333,0.7
aime24_qwen3,spec_casc_tok,0.3,12,30,False,1.223,0.988,1.116,1.118,0.784,0.167,0.167,,True,,0.7
aime24_qwen3,spec_casc_tok,0.35,3,30,False,1.033,1.144,0.861,0.881,0.848,0.333,0.0,,False,,0.7
aime24_qwen3,spec_casc_tok,0.55,3,30,False,1.045,0.965,1.016,1.05,1.011,0.333,0.0,,False,,0.7
aime24_qwen3,spec_casc_tok,0.8,30,30,True,1.241,0.983,1.074,1.084,1.076,0.133,0.167,,True,0.7,0.7
aime24_qwen3,spec_casc_tok_hsr_guard,0.3 (budget10_pct90_k8),4,30,False,1.181,0.848,1.285,1.308,1.041,0.5,0.5,,True,,0.7
aime24_qwen3,spec_casc_tok_hsr_guard,0.3 (budget10_pct95_k8),4,30,False,1.205,0.796,1.354,1.408,1.108,0.25,0.5,,True,,0.7
aime24_qwen3,spec_casc_tok_hsr_guard,0.3 (budget10_pct99.9_k8),12,30,False,1.223,0.953,1.166,1.158,0.902,0.167,0.167,,True,,0.7
aime24_qwen3,spec_casc_tok_hsr_guard,0.3 (budget10_pct99_k8),12,30,False,1.229,0.958,1.163,1.156,0.951,0.083,0.167,,True,,0.7
aime24_qwen3,spec_casc_tok_hsr_guard,0.3 (budget25_pct99.9_k8),12,30,False,1.223,0.988,1.116,1.118,0.78,0.167,0.167,,True,,0.7
aime24_qwen3,spec_casc_tok_hsr_guard,0.3 (budget5_pct99.9_k8),12,30,False,1.213,0.992,1.103,1.108,0.757,0.167,0.167,,True,,0.7
aime24_qwen3,strict,,30,30,True,1.104,1.0,1.0,1.0,1.0,0.167,0.167,,True,0.7,0.7
gsm8k,cactus,0.03,150,150,True,3.417,1.276,1.021,0.971,0.927,0.033,0.02,0.033,True,0.96,0.96
gsm8k,cactus,0.08,3,150,False,3.917,2.641,0.565,0.503,0.479,0.0,0.0,0.0,True,,0.96
gsm8k,cactus,0.18,150,150,True,4.096,1.557,0.984,0.917,0.843,0.073,0.02,0.073,False,0.8866666666666667,0.96
gsm8k,cactus,0.35,150,150,True,4.372,1.609,1.012,0.936,0.842,0.053,0.02,0.053,True,0.9133333333333333,0.96
gsm8k,mentored_dec,0.15,150,150,True,2.872,0.996,1.112,1.09,1.055,0.02,0.02,0.02,True,0.9733333333333334,0.96
gsm8k,mentored_dec,0.35,150,150,True,3.183,1.05,1.138,1.117,1.051,0.02,0.02,0.02,True,0.96,0.96
gsm8k,mentored_dec,0.55,3,150,False,3.848,1.98,0.703,0.661,0.606,0.0,0.0,0.0,True,,0.96
gsm8k,mentored_dec,0.75,150,150,True,3.733,1.163,1.204,1.141,1.037,0.04,0.02,0.04,True,0.9333333333333333,0.96
gsm8k,r_fuzzy,0.03,3,150,False,2.899,1.261,0.826,0.835,0.828,0.0,0.0,0.0,True,,0.96
gsm8k,r_fuzzy,0.08,150,150,True,2.961,1.054,1.066,1.054,1.011,0.013,0.02,0.013,True,0.92,0.96
gsm8k,r_fuzzy,0.15,150,150,True,3.407,1.204,1.059,1.027,0.964,0.013,0.02,0.02,True,0.94,0.96
gsm8k,r_fuzzy,0.25,150,150,True,4.018,1.695,0.878,0.83,0.773,0.053,0.02,0.047,True,0.8733333333333333,0.96
gsm8k,spec_casc_opt,0.05,150,150,True,3.666,1.455,0.938,0.899,0.85,0.047,0.02,0.053,True,0.94,0.96
gsm8k,spec_casc_opt,-0.02,3,150,False,3.787,2.213,0.594,0.584,0.538,0.0,0.0,0.0,True,,0.96
