dataset,method,params,n_runs,mean_output_tokens,len_ratio,budget_hit_rate,accept_rate,lossy_only_per_1k,ooh80_share,ooh50_share,ooh80_per_1k,accepted_ooh80_per_1k,rank_ge1_share,rank_ge3_share,rank_ge10_share,median_lossy_rank,r_len_vs_ooh80,rho_len_vs_ooh80,n_corr,ooh80_per_1k_stop_runs,ooh80_per_1k_budget_runs_first_quarter,ooh80_per_1k_budget_runs_last_quarter
humaneval,cactus,alpha0.25,164,1503.0,1.571,0.006,0.808,175.48,0.694,0.797,121.73,196.24,0.862,0.639,0.42,6.0,0.378,0.387,164,119.84,172.89,171.56
humaneval,mentored_dec,alpha0.37,164,954.1,0.997,0.0,0.74,48.78,0.336,0.499,16.37,70.07,0.632,0.282,0.112,1.0,0.087,0.143,164,16.37,,
humaneval,r_fuzzy,alpha0.3,164,1786.6,1.868,0.012,0.808,175.98,0.671,0.774,118.04,190.6,0.848,0.596,0.367,4.0,0.228,0.171,164,115.31,162.97,160.52
humaneval,spec_casc_opt,alpha0.05,164,1546.2,1.616,0.03,0.778,110.65,0.509,0.647,56.29,117.54,0.766,0.473,0.272,2,0.059,0.111,164,56.23,55.8,51.35
humaneval,spec_casc_tok,alpha0.3,164,918.8,0.96,0.0,0.709,25.86,0.0,0.0,0.0,37.49,0.163,0.002,0.0,0.0,,,164,0.0,,
humaneval,strict,strict,164,956.7,1.0,0.006,0.698,0.0,,,0.0,53.89,,,,,,,164,0.0,0.0,0.0
aime24,cactus,alpha0.25,30,18678.5,1.86,0.267,0.806,219.23,0.707,0.806,155.08,247.01,0.87,0.659,0.437,7.0,-0.094,-0.178,30,146.81,147.04,182.31
aime24,mentored_dec,alpha0.37,30,12317.7,1.226,0.067,0.712,52.5,0.313,0.469,16.42,67.03,0.606,0.236,0.083,1.0,-0.022,-0.111,30,16.2,16.17,18.0
aime24,r_fuzzy,alpha0.3,30,19505.5,1.942,0.167,0.804,204.47,0.688,0.787,140.73,223.9,0.857,0.622,0.388,5,-0.227,-0.31,30,141.19,126.89,155.08
aime24,spec_casc_opt,alpha0.05,30,21410.3,2.132,0.5,0.769,124.41,0.52,0.654,64.65,125.71,0.766,0.467,0.264,2.0,-0.317,-0.373,30,65.84,66.66,64.93
aime24,spec_casc_tok,alpha0.3,30,9439.6,0.94,0.067,0.693,25.91,0.0,0.0,0.0,32.07,0.166,0.001,0.0,0.0,,,30,0.0,0.0,0.0
aime24,spec_casc_tok,alpha0.3_hscapture,1,14000.0,1.345,1.0,0.712,23.78,0.0,0.0,0.0,25.57,0.171,0.0,0.0,0,,,1,0.0,0.0,0.0
aime24,spec_casc_tok,alpha0.5,30,10495.1,1.045,0.133,0.694,33.44,0.0,0.0,0.0,31.22,0.358,0.013,0.0,0.0,,,30,0.0,0.0,0.0
aime24,spec_casc_tok,alpha0.7,30,10337.0,1.029,0.167,0.707,46.84,0.0,0.249,0.0,30.24,0.517,0.05,0.0,1,,,30,0.0,0.0,0.0
aime24,spec_casc_tok,alpha1,1,32768.0,19.151,1.0,0.857,249.25,0.69,0.793,171.87,272.53,0.865,0.604,0.364,4,,,1,0.0,173.32,171.73
aime24,strict,strict,30,10043.4,1.0,0.1,0.666,0.0,,,0.0,50.31,,,,,,,30,0.0,0.0,0.0
