dataset,method,params,case,output_tokens,budget_hit,len_ratio_vs_strict,n_emitted,n_lossy_only,lossy_only_per_1k,ooh80,ooh80_per_1k,ooh50_per_1k,accepted_ooh80_per_1k
humaneval,cactus,alpha0.25,case_001,899,False,1.1058,907,126,138.92,87,95.921,109.151,134.509
humaneval,cactus,alpha0.25,case_002,3857,False,2.0311,3858,862,223.432,633,164.075,189.736,258.424
humaneval,cactus,alpha0.25,case_003,774,False,2.3174,783,137,174.968,99,126.437,143.04,208.174
humaneval,cactus,alpha0.25,case_004,470,False,1.0421,479,90,187.891,64,133.612,150.313,210.856
humaneval,cactus,alpha0.25,case_005,645,False,1.4145,650,96,147.692,64,98.462,115.385,164.615
humaneval,cactus,alpha0.25,case_006,617,False,1.3384,627,89,141.946,61,97.289,111.643,149.92
humaneval,cactus,alpha0.25,case_007,1054,False,1.4619,1063,212,199.436,137,128.881,145.814,207.902
humaneval,cactus,alpha0.25,case_008,500,False,1.2315,509,75,147.348,58,113.949,121.807,212.181
humaneval,cactus,alpha0.25,case_009,420,False,1.2,422,40,94.787,26,61.611,73.46,109.005
humaneval,cactus,alpha0.25,case_010,762,False,1.5842,772,89,115.285,64,82.902,94.56,139.896
humaneval,cactus,alpha0.25,case_011,919,False,0.734,925,185,200.0,130,140.541,168.649,215.135
humaneval,cactus,alpha0.25,case_012,558,False,1.1974,563,92,163.41,67,119.005,134.991,182.948
humaneval,cactus,alpha0.25,case_013,321,False,0.7906,326,48,147.239,34,104.294,119.632,171.779
humaneval,cactus,alpha0.25,case_014,413,False,1.434,421,31,73.634,21,49.881,57.007,106.888
humaneval,cactus,alpha0.25,case_015,256,False,0.6081,258,23,89.147,17,65.891,73.643,124.031
humaneval,cactus,alpha0.25,case_016,661,False,1.38,662,105,158.61,72,108.761,129.909,170.695
humaneval,cactus,alpha0.25,case_017,542,False,1.3791,545,74,135.78,53,97.248,108.257,181.651
humaneval,cactus,alpha0.25,case_018,1678,False,2.6096,1680,262,155.952,177,105.357,121.429,189.881
humaneval,cactus,alpha0.25,case_019,595,False,0.9112,607,100,164.745,73,120.264,130.148,191.104
humaneval,cactus,alpha0.25,case_020,870,False,1.5052,872,143,163.991,105,120.413,129.587,196.101
humaneval,cactus,alpha0.25,case_021,2435,False,2.6239,2436,353,144.91,238,97.701,114.122,170.361
humaneval,cactus,alpha0.25,case_022,586,False,0.7721,590,82,138.983,58,98.305,110.169,167.797
humaneval,cactus,alpha0.25,case_023,442,False,0.7354,446,76,170.404,52,116.592,143.498,156.951
humaneval,cactus,alpha0.25,case_024,338,False,1.1118,341,58,170.088,46,134.897,149.56,225.806
humaneval,cactus,alpha0.25,case_025,1214,False,2.282,1216,209,171.875,132,108.553,130.757,171.053
humaneval,cactus,alpha0.25,case_026,579,False,0.9586,584,76,130.137,51,87.329,97.603,125.0
humaneval,cactus,alpha0.25,case_027,657,False,1.5569,659,90,136.571,69,104.704,118.361,166.92
humaneval,cactus,alpha0.25,case_028,348,False,1.1013,354,58,163.842,41,115.819,129.944,189.266
humaneval,cactus,alpha0.25,case_029,214,False,0.7698,216,26,120.37,22,101.852,106.481,148.148
humaneval,cactus,alpha0.25,case_030,369,False,1.0365,372,53,142.473,30,80.645,104.839,137.097
humaneval,cactus,alpha0.25,case_031,874,False,2.1111,880,126,143.182,87,98.864,111.364,151.136
humaneval,cactus,alpha0.25,case_032,413,False,0.9695,421,47,111.639,39,92.637,102.138,140.143
humaneval,cactus,alpha0.25,case_033,5640,False,1.2743,5646,1092,193.411,797,141.162,159.582,224.938
humaneval,cactus,alpha0.25,case_034,1728,False,1.9839,1740,279,160.345,192,110.345,125.287,166.667
humaneval,cactus,alpha0.25,case_035,386,False,1.9397,386,52,134.715,38,98.446,108.808,160.622
humaneval,cactus,alpha0.25,case_036,651,False,2.0667,663,108,162.896,80,120.664,134.238,194.57
humaneval,cactus,alpha0.25,case_037,1933,False,1.8877,1940,352,181.443,244,125.773,142.784,200.0
humaneval,cactus,alpha0.25,case_038,1558,False,1.8032,1560,238,152.564,160,102.564,116.667,178.846
humaneval,cactus,alpha0.25,case_039,1820,False,2.5103,1821,326,179.023,223,122.46,140.582,193.3
humaneval,cactus,alpha0.25,case_040,2267,False,1.8736,2278,307,134.767,219,96.137,108.867,142.23
humaneval,cactus,alpha0.25,case_041,1251,False,1.0638,1256,188,149.682,130,103.503,122.611,157.643
humaneval,cactus,alpha0.25,case_042,1994,False,1.4555,2001,480,239.88,349,174.413,205.397,280.36
humaneval,cactus,alpha0.25,case_043,341,False,1.4328,342,34,99.415,23,67.251,73.099,99.415
humaneval,cactus,alpha0.25,case_044,987,False,1.8044,992,133,134.073,90,90.726,101.815,150.202
humaneval,cactus,alpha0.25,case_045,674,False,0.7765,685,100,145.985,69,100.73,113.869,160.584
humaneval,cactus,alpha0.25,case_046,360,False,0.678,361,45,124.654,29,80.332,96.953,160.665
humaneval,cactus,alpha0.25,case_047,2188,False,3.0055,2192,245,111.77,165,75.274,87.591,124.088
humaneval,cactus,alpha0.25,case_048,3052,False,1.03,3058,536,175.278,376,122.956,139.307,220.405
humaneval,cactus,alpha0.25,case_049,295,False,0.9455,297,45,151.515,35,117.845,127.946,191.919
humaneval,cactus,alpha0.25,case_050,1242,False,1.6472,1249,249,199.359,177,141.713,160.929,220.176
humaneval,cactus,alpha0.25,case_051,1064,False,2.5333,1065,165,154.93,107,100.469,111.737,170.892
humaneval,cactus,alpha0.25,case_052,947,False,1.7002,952,170,178.571,115,120.798,143.908,197.479
humaneval,cactus,alpha0.25,case_053,294,False,0.8673,301,37,122.924,27,89.701,99.668,136.213
humaneval,cactus,alpha0.25,case_054,305,False,0.8616,306,40,130.719,22,71.895,81.699,137.255
humaneval,cactus,alpha0.25,case_055,2650,False,2.8342,2654,391,147.325,262,98.719,112.283,157.498
humaneval,cactus,alpha0.25,case_056,1112,False,1.9681,1120,152,135.714,98,87.5,100.893,132.143
humaneval,cactus,alpha0.25,case_057,482,False,1.1699,492,60,121.951,42,85.366,99.593,146.341
humaneval,cactus,alpha0.25,case_058,944,False,1.7321,952,142,149.16,100,105.042,111.345,177.521
humaneval,cactus,alpha0.25,case_059,1178,False,3.4244,1190,204,171.429,125,105.042,130.252,178.992
humaneval,cactus,alpha0.25,case_060,524,False,0.1551,527,87,165.085,61,115.75,127.135,180.266
humaneval,cactus,alpha0.25,case_061,442,False,1.1304,446,44,98.655,30,67.265,78.475,114.35
humaneval,cactus,alpha0.25,case_062,1406,False,3.7,1415,250,176.678,182,128.622,149.117,207.774
humaneval,cactus,alpha0.25,case_063,746,False,1.3588,755,139,184.106,96,127.152,149.669,210.596
humaneval,cactus,alpha0.25,case_064,1367,False,1.2173,1371,147,107.221,84,61.269,74.398,110.139
humaneval,cactus,alpha0.25,case_065,2209,False,2.9572,2216,429,193.592,302,136.282,155.235,217.058
humaneval,cactus,alpha0.25,case_066,1811,False,2.1306,1817,334,183.819,229,126.032,143.643,203.632
humaneval,cactus,alpha0.25,case_067,884,False,1.5215,886,142,160.271,96,108.352,127.54,174.944
humaneval,cactus,alpha0.25,case_068,717,False,1.5321,722,109,150.97,74,102.493,128.809,157.895
humaneval,cactus,alpha0.25,case_069,692,False,1.2886,695,95,136.691,66,94.964,109.353,145.324
humaneval,cactus,alpha0.25,case_070,562,False,1.0181,569,67,117.75,48,84.359,96.661,114.236
humaneval,cactus,alpha0.25,case_071,974,False,2.179,981,159,162.08,121,123.344,138.634,182.467
humaneval,cactus,alpha0.25,case_072,475,False,0.6996,483,46,95.238,39,80.745,84.886,109.731
humaneval,cactus,alpha0.25,case_073,648,False,1.0872,658,70,106.383,43,65.35,79.027,124.62
humaneval,cactus,alpha0.25,case_074,799,False,0.9111,808,113,139.851,74,91.584,105.198,150.99
humaneval,cactus,alpha0.25,case_075,772,False,1.3712,778,96,123.393,58,74.55,92.545,116.967
humaneval,cactus,alpha0.25,case_076,1805,False,1.4771,1806,322,178.295,221,122.37,144.518,213.732
humaneval,cactus,alpha0.25,case_077,1760,False,0.8294,1761,331,187.961,222,126.065,144.804,193.64
humaneval,cactus,alpha0.25,case_078,4297,False,3.6979,4302,833,193.631,590,137.146,154.114,211.994
humaneval,cactus,alpha0.25,case_079,959,False,1.5825,966,116,120.083,74,76.605,92.133,129.4
humaneval,cactus,alpha0.25,case_080,950,False,1.5833,952,199,209.034,133,139.706,162.815,223.739
humaneval,cactus,alpha0.25,case_081,611,False,1.3312,622,74,118.971,52,83.601,94.855,130.225
humaneval,cactus,alpha0.25,case_082,1440,False,0.7332,1446,196,135.546,139,96.127,114.108,143.154
humaneval,cactus,alpha0.25,case_083,664,False,1.1216,667,68,101.949,41,61.469,77.961,109.445
humaneval,cactus,alpha0.25,case_084,1571,False,1.5524,1579,191,120.963,129,81.697,96.897,118.429
humaneval,cactus,alpha0.25,case_085,849,False,1.4765,857,135,157.526,95,110.852,128.355,168.028
humaneval,cactus,alpha0.25,case_086,823,False,1.5073,831,125,150.421,89,107.1,120.337,156.438
humaneval,cactus,alpha0.25,case_087,4014,False,4.1001,4020,779,193.781,528,131.343,153.483,209.701
humaneval,cactus,alpha0.25,case_088,1734,False,1.9593,1744,316,181.193,220,126.147,145.069,193.234
humaneval,cactus,alpha0.25,case_089,758,False,1.3137,763,114,149.41,83,108.781,125.819,161.206
humaneval,cactus,alpha0.25,case_090,716,False,0.632,723,96,132.78,60,82.988,96.819,127.248
humaneval,cactus,alpha0.25,case_091,1181,False,2.792,1185,209,176.371,141,118.987,138.397,200.844
humaneval,cactus,alpha0.25,case_092,1370,False,1.7609,1373,312,227.24,230,167.516,186.453,249.09
humaneval,cactus,alpha0.25,case_093,1163,False,1.8144,1167,205,175.664,151,129.392,139.674,193.659
humaneval,cactus,alpha0.25,case_094,4128,False,2.9214,4134,702,169.811,484,117.078,133.769,177.552
humaneval,cactus,alpha0.25,case_095,2344,False,3.3107,2345,288,122.814,204,86.994,99.36,125.373
humaneval,cactus,alpha0.25,case_096,966,False,1.6345,975,139,142.564,94,96.41,114.872,169.231
humaneval,cactus,alpha0.25,case_097,832,False,1.1049,835,80,95.808,51,61.078,73.054,106.587
humaneval,cactus,alpha0.25,case_098,1680,False,3.3735,1683,317,188.354,214,127.154,147.356,212.121
humaneval,cactus,alpha0.25,case_099,979,False,2.1329,980,133,135.714,84,85.714,105.102,145.918
humaneval,cactus,alpha0.25,case_100,3567,False,2.9166,3579,732,204.526,542,151.439,172.674,231.908
