target,dataset,stem,method,alpha,n_cases,mean_l_bar,mean_completion_length,mean_verifier_rounds,accuracy
gpt_oss_20b,gsm8k,gsm8k,mentored_dec,0.15,150,2.872302661996245,320.94,84.56666666666666,0.9733333333333334
gpt_oss_20b,gsm8k,gsm8k,mentored_dec,0.35,150,3.1825548864444273,338.2733333333333,82.59333333333333,0.96
gpt_oss_20b,gsm8k,gsm8k,mentored_dec,0.75,150,3.733286873135276,374.82,78.09333333333333,0.9333333333333333
gpt_oss_20b,gsm8k,gsm8k,cactus,0.03,150,3.4170272113658857,411.00666666666666,92.11333333333333,0.96
gpt_oss_20b,gsm8k,gsm8k,cactus,0.18,150,4.095762333128075,501.73333333333335,95.57333333333334,0.8866666666666667
gpt_oss_20b,gsm8k,gsm8k,cactus,0.35,150,4.37218581681752,518.4733333333334,92.86666666666666,0.9133333333333333
gpt_oss_20b,gsm8k,gsm8k,spec_casc_opt,-0.3,150,3.1781864357661442,350.88666666666666,86.49333333333334,0.9333333333333333
gpt_oss_20b,gsm8k,gsm8k,spec_casc_opt,-0.1,150,3.4175528552364227,382.88666666666666,87.5,0.9533333333333334
gpt_oss_20b,gsm8k,gsm8k,spec_casc_opt,0.05,150,3.6661153881198416,468.92,100.26,0.94
gpt_oss_20b,gsm8k,gsm8k,r_fuzzy,0.08,150,2.9610393752834194,339.64,88.22,0.92
gpt_oss_20b,gsm8k,gsm8k,r_fuzzy,0.15,150,3.407039921467916,387.82,88.80666666666667,0.94
gpt_oss_20b,gsm8k,gsm8k,r_fuzzy,0.25,150,4.018256962953026,546.1733333333333,107.02666666666667,0.8733333333333333
gpt_oss_20b,gsm8k,gsm8k,spec_casc_tok,0.15,150,2.752777872444252,281.76,78.52666666666667,0.98
gpt_oss_20b,gsm8k,gsm8k,spec_casc_tok,0.8,150,3.040900807884757,308.52,77.88666666666667,0.9733333333333334
gpt_oss_20b,gsm8k,gsm8k,strict,strict,150,2.5666493775836448,322.18666666666667,94.02,0.96
gpt_oss_20b,aime24,aime24,mentored_dec,0.35,30,2.641171227372565,10544.8,3072.6,0.8
gpt_oss_20b,aime24,aime24,mentored_dec,0.75,30,3.3382415650391635,14772.766666666666,3491.3,0.6333333333333333
gpt_oss_20b,aime24,aime24,mentored_dec,0.15,30,2.410031080507201,9380.866666666667,2907.5666666666666,0.8
gpt_oss_20b,aime24,aime24,cactus,0.03,30,3.053454082172536,13162.266666666666,3333.8333333333335,0.6333333333333333
gpt_oss_20b,aime24,aime24,cactus,0.08,30,3.5346910401803178,15474.3,3455.8333333333335,0.5333333333333333
gpt_oss_20b,aime24,aime24,cactus,0.18,30,3.9281913391095773,15510.033333333333,3165.8,0.6
gpt_oss_20b,aime24,aime24,spec_casc_opt,-0.3,30,2.7054377678066754,11580.766666666666,3299.8333333333335,0.8
gpt_oss_20b,aime24,aime24,spec_casc_opt,0.05,30,3.382914845827477,21652.533333333333,5033.1,0.36666666666666664
gpt_oss_20b,aime24,aime24,r_fuzzy,0.08,30,2.463405196974448,11390.5,3446.3333333333335,0.7
gpt_oss_20b,aime24,aime24,r_fuzzy,0.25,30,3.679256096943079,18582.3,4041.9333333333334,0.5
gpt_oss_20b,aime24,aime24,r_fuzzy,0.03,30,2.267329501064567,11459.2,3798.4666666666667,0.7666666666666667
gpt_oss_20b,aime24,aime24,spec_casc_tok,0.8,30,2.6979429197373204,12936.933333333332,3615.5666666666666,0.7
gpt_oss_20b,aime24,aime24,spec_casc_tok,0.15,30,2.383499809486646,8733.6,2695.233333333333,0.8333333333333334
gpt_oss_20b,aime24,aime24,strict,strict,30,2.1919579169662753,8717.266666666666,2952.5,0.7666666666666667
gpt_oss_20b,humaneval,humaneval,mentored_dec,0.35,150,2.9844413469105464,940.52,244.86,0.9466666666666667
gpt_oss_20b,humaneval,humaneval,mentored_dec,0.75,150,3.6082611117280603,1182.0266666666666,262.6066666666667,0.96
gpt_oss_20b,humaneval,humaneval,mentored_dec,0.15,150,2.709617350804999,879.56,246.21333333333334,0.9733333333333334
gpt_oss_20b,humaneval,humaneval,cactus,0.03,150,3.3657604648800508,1129.96,266.2,0.9333333333333333
gpt_oss_20b,humaneval,humaneval,cactus,0.35,150,4.356839589711439,1632.82,303.38,0.8733333333333333
gpt_oss_20b,humaneval,humaneval,spec_casc_opt,-0.3,150,2.9859729466629257,994.88,259.62,0.94
gpt_oss_20b,humaneval,humaneval,spec_casc_opt,0.05,150,3.5540545377985193,1581.6066666666666,351.46,0.82
